generation,individual,fitness,genotype,active_nodes
0,0,0.0,"[ 7  0  0  1  0  0  1  1  0  0  0  0  5  1  1  2  0  1  1  6  0  8  3  1
  1  5  4  7  0  4 10  3 10  9  2  6  8  3  6  7  7  6  3  5  9  8  7 15
  1  7 12  2 14 13  2  7  8  9 14  9  1 20 15  2 12 17  1 20 14 10 16 19
  0 18 16 21 25  1]",[ 2  3  5  6  9 13 14 16 19 21 25]
0,1,0.0,"[ 2  1  0  4  0  1  0  1  1  7  1  1  7  0  1  9  1  3  8  6  3  4  2  0
  2  3  3  1  4  0  7  8  6 10  5  7  1  4 11  4  4  7  7  3  3  6 10  7
  4  7 10  8  8 12  4 14  8  9 11  8  6 15 13  6 15 19  8 15 17  3 20 18
  2 21 15  9  1 26]",[ 2  3  4  6  7  8  9 11 15 21 26]
0,2,0.0,"[ 5  0  1  8  1  1  2  0  0  9  0  0  8  0  1  2  0  5 10  0  5  1  6  6
  2  1  0  6  3  5  5  5  8  4 10  6  6  7 11  2 10  3  4  6  8  6 16 11
  8  8 13  4 10 11  9 13  7  5 14 10  7 14 18  4 12 13  7 18 16  6 19 14
  6 19 14  9 18 11]",[ 3  5  6  8  9 10 11 13 18]
0,3,0.0,"[10  1  0  2  1  1 10  0  1 10  0  0  5  1  0  2  4  2  5  6  6  4  2  5
 10  4  2  9  2  4  3 10  6  1 10 11  3  7 10  5  7  9  4  3 10  9 16 15
  1 10 11  5  9  7  6  7  7  3  9 12  8 17 18  8 13 16  4 19 21  3 17 20
  1 12 21 10 18  7]",[ 2  4  7 10 11 18]
0,4,0.0,"[ 2  1  1 10  0  0  2  0  0  8  1  1  2  1  0  5  0  2 10  3  0  9  4  0
  5  1  4  3  2  4  6 11  9  0  2  9  1  6  8  5  4  9 10  5  2  5 16 12
  6  9  8 10  7 10  3 16 16  8  9 15  2 16 12  9 19 17  9 17 16  6 18 17
  3 16 12 10 18  8]",[ 3  4  8  9 10 18]
0,5,0.0,"[ 1  0  0  8  1  0  5  1  1  4  0  1  2  0  1  3  1  3  4  6  6  2  2  5
  9  6  6  6  4  3  9 11  9  7 10  9  5 11  3 10 10  8  9  4  3  7 14  8
  8 15  9  4 10  8  5 13 11  8 12 13  8 15 21  7 19 17  7 20 13  8 19 13
  1 15 14 19 10  5]",[ 5  6  8 10 19]
0,6,0.0,"[ 6  1  0  4  0  0 10  1  0  0  0  1  6  1  1  4  4  3  9  5  1  6  3  0
  4  4  4  4  6  5  5 11  5  2  5 11  7 11  9  6 10  7  8  6  8  6 11 16
  7 12 10  4  9  9  6  9  7  3 16 15  5 20 15  6 19 12  8 18 13  1 13 15
 10 18 19 12 24 25]",[ 3  4  5  6  7 10 11 12 13 15 18 24 25]
0,7,0.0,"[ 3  1  1  8  1  0  4  0  0  2  0  1  6  0  0  4  0  3  8  6  2  9  1  2
  6  6  5  7  2  6  5  4  3  7  5  9  3  3  6  2 10  6  2  8  5  3 15 15
  2 10 12 10 16 13 10  7 15  5 10 10  8 12 12  5 19 15 10 12 18  6 19 18
  5 21 20  7 24 18]",[ 3  4  5  6  7 10 12 18 24]
0,8,0.0,"[ 9  1  1  7  0  0  4  0  1  9  0  1  6  0  0  6  3  0  6  1  6  2  4  0
  5  6  1  3  6  0  8  8  2  2  6 10  0  7 10  0  6 10  0  2  8  7  7 11
  2 10 16  7 16  7  4 10 14  7  9 11  2 18 16  8 12 16 10 17 21  3 14 12
 10 16 21 15  0 13]",[ 6 10 13 15]
0,9,0.0,"[ 2  1  1  9  1  0  1  1  1  8  0  1  7  0  1  1  4  4  5  5  4  8  4  1
 10  4  0  6  0  2  8  4  3 10  7 11  7  6  3  1 11  9  9  2  7  0 16 16
  3  8 14  8  9 16  0 11 15 10 16 13  4 21 21  0 21 17  8 17 15  1 20 15
  1 16 12  2  2  0]",[2]
